type,length,mw,charge,charge_density,pi,instability,aromaticity,aliphatic,bomanind,hydrophratio
1,33.0,3180.71,3.988,0.0012538081120253026,10.68359375,7.272727272727273,0.030303030303030304,95.15151515151516,0.23181818181818173,0.5151515151515151
1,34.0,3877.48,4.985,0.0012856288104645286,11.45849609375,84.15588235294116,0.17647058823529413,40.0,1.198235294117647,0.20588235294117646
1,54.0,5947.71,2.878,0.00048388371322744385,8.126220703125,57.07407407407407,0.1111111111111111,27.037037037037035,1.9544444444444447,0.3148148148148148
1,49.0,5613.26,1.881,0.00033509938965948485,7.9168701171875,16.722448979591835,0.12244897959183673,22.040816326530614,2.433673469387755,0.30612244897959184
1,34.0,3749.38,1.031,0.0002749787964943537,9.650390625,13.861764705882353,0.08823529411764706,117.64705882352942,0.5517647058823529,0.5
1,18.0,2107.43,4.029,0.0019118072723649186,12.4033203125,53.16111111111112,0.05555555555555555,59.44444444444444,2.9755555555555557,0.16666666666666666
1,18.0,2107.43,4.029,0.0019118072723649186,12.4033203125,53.16111111111112,0.05555555555555555,59.44444444444444,2.9755555555555557,0.16666666666666666
1,12.0,1484.93,4.682,0.003153010579623282,12.1005859375,2.091666666666667,0.0,170.0,2.52,0.6666666666666666
1,43.0,5147.240000000001,9.987,0.0019402631313092061,12.9990234375,132.07930232558138,0.16279069767441862,54.41860465116279,2.001860465116279,0.27906976744186046
1,60.0,7022.530000000001,17.989,0.0025616124103421413,14.1953125,80.59666666666664,0.05,58.5,3.2933333333333334,0.2
1,37.0,3847.36,2.99,0.0007771562837894036,11.67578125,19.251351351351357,0.05405405405405406,90.0,1.4624324324324325,0.4864864864864865
1,13.0,1445.75,0.989,0.0006840740100293965,9.83984375,20.47692307692308,0.07692307692307693,157.69230769230768,-0.023076923076923064,0.5384615384615384
1,13.0,1479.77,0.989,0.000668347107996513,9.83984375,20.47692307692308,0.15384615384615385,127.6923076923077,0.12615384615384617,0.5384615384615384
1,16.0,1614.98,1.989,0.0012315941993089699,10.708984375,-13.650000000000002,0.0625,158.125,-1.0118749999999999,0.5625
1,16.0,1614.98,1.989,0.0012315941993089699,10.708984375,-5.9375,0.0625,158.125,-1.0118749999999999,0.5625
